month,compare_month,country_key,country_label,source_key,source_label,gmv_prev,gmv_cur,old_gmv_prev,old_gmv_cur,new_gmv_prev,new_gmv_cur,orders_total_prev,orders_total_cur,orders_success_prev,orders_success_cur,success_users_prev,success_users_cur,success_rate_prev,success_rate_cur,new_users_prev,new_users_cur,repurchase_rate_prev,repurchase_rate_cur,retention_rate_prev,retention_rate_cur,conversion_rate_prev,conversion_rate_cur
2026-05,2026-04,阿联酋,阿联酋,e付全酋(小程序),e付全酋(小程序),149321,148934,136171,136563,13150,12370,1072,1138,967,999,473,470,0.9020522388059702,0.8778558875219684,97,91,0.5044052863436124,0.5687103594080338,0.3888888888888889,0.43859649122807015,0.422680412371134,0.38461538461538464
2026-05,2026-04,阿联酋,阿联酋,支付宝小程序,支付宝小程序,6373,4803,5634,4803,739,0,32,22,21,14,9,9,0.65625,0.6363636363636364,2,3,0.26666666666666666,0.4444444444444444,,0.0,0.5,0.0
2026-05,2026-04,阿联酋,阿联酋,e付全酋(公众号),e付全酋(公众号),75768,68009,66864,62842,8904,5166,515,490,437,426,239,242,0.8485436893203884,0.8693877551020408,64,68,0.5020080321285141,0.49372384937238495,0.2558139534883721,0.25,0.375,0.36764705882352944
2026-05,2026-04,阿联酋,阿联酋,公众号,公众号,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,沙特阿拉伯,沙特阿拉伯,__ALL__,来源汇总,255313,284797,218494,240514,36819,44283,1564,1781,1472,1597,917,996,0.9411764705882353,0.8966872543514879,276,307,0.5068181818181818,0.5452562704471101,0.45864661654135336,0.4967741935483871,0.4782608695652174,0.4820846905537459
2026-05,2026-04,沙特阿拉伯,沙特阿拉伯,易付全球(小程序),易付全球(小程序),179560,191388,155696,163554,23863,27834,1077,1196,1019,1081,627,668,0.9461467038068709,0.9038461538461539,163,185,0.511437908496732,0.5566188197767146,0.47126436781609193,0.51,0.44171779141104295,0.4702702702702703
2026-05,2026-04,沙特阿拉伯,沙特阿拉伯,easy大马生活(公众号),easy大马生活(公众号),72,1313,72,1313,0,0,1,4,1,4,1,3,1.0,1.0,3,1,0.0,0.0,,,0.0,0.0
2026-05,2026-04,沙特阿拉伯,沙特阿拉伯,易付全球(公众号),易付全球(公众号),67859,82654,55420,67869,12439,14785,439,533,411,468,274,306,0.9362186788154897,0.8780487804878049,103,114,0.3952569169960474,0.4233576642335766,0.2727272727272727,0.32142857142857145,0.47572815533980584,0.4824561403508772
2026-05,2026-04,沙特阿拉伯,沙特阿拉伯,easy大马生活(小程序),easy大马生活(小程序),1124,84,1124,84,0,0,9,2,5,2,4,2,0.5555555555555556,1.0,4,3,0.4,0.25,1.0,,0.0,0.0
2026-05,2026-04,沙特阿拉伯,沙特阿拉伯,e付全酋(小程序),e付全酋(小程序),3982,4532,3626,4076,356,456,19,22,19,20,13,12,1.0,0.9090909090909091,2,3,0.5714285714285714,0.46153846153846156,1.0,0.0,0.5,0.6666666666666666
2026-05,2026-04,沙特阿拉伯,沙特阿拉伯,支付宝小程序,支付宝小程序,1010,3685,1010,2477,0,1208,8,15,7,15,5,8,0.875,1.0,4,3,0.5714285714285714,0.2,1.0,,0.0,0.6666666666666666
2026-05,2026-04,沙特阿拉伯,沙特阿拉伯,e付全酋(公众号),e付全酋(公众号),1705,1141,1544,1141,161,0,11,9,10,7,6,6,0.9090909090909091,0.7777777777777778,1,1,0.4,0.5,0.0,0.0,0.0,0.0
2026-05,2026-04,沙特阿拉伯,沙特阿拉伯,公众号,公众号,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,吉尔吉斯斯坦,吉尔吉斯斯坦,__ALL__,来源汇总,197860,230006,142168,180225,55692,49780,4169,4932,3666,4371,1718,2102,0.8793475653633965,0.8862530413625304,744,754,0.6559865092748736,0.6728754365541327,0.5333333333333333,0.5665467625899281,0.6478494623655914,0.6259946949602122
2026-05,2026-04,吉尔吉斯斯坦,吉尔吉斯斯坦,易付全球(小程序),易付全球(小程序),164402,193437,119837,155703,44565,37734,3524,4202,3085,3727,1461,1790,0.8754256526674233,0.8869585911470729,582,555,0.6524752475247525,0.6700889801505818,0.5371428571428571,0.5584988962472406,0.6305841924398625,0.6108108108108108
2026-05,2026-04,吉尔吉斯斯坦,吉尔吉斯斯坦,easy大马生活(公众号),easy大马生活(公众号),0,5,0,5,0,0,0,1,0,1,0,1,,1.0,0,0,,,,,,
2026-05,2026-04,吉尔吉斯斯坦,吉尔吉斯斯坦,易付全球(公众号),易付全球(公众号),31972,35561,20992,23881,10980,11680,614,699,553,621,268,328,0.9006514657980456,0.8884120171673819,162,190,0.519774011299435,0.5223880597014925,0.39473684210526316,0.4336283185840708,0.5987654320987654,0.5894736842105263
2026-05,2026-04,吉尔吉斯斯坦,吉尔吉斯斯坦,easy大马生活(小程序),easy大马生活(小程序),0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,,,,,,0.0
2026-05,2026-04,吉尔吉斯斯坦,吉尔吉斯斯坦,e付全酋(小程序),e付全酋(小程序),186,50,186,0,0,50,2,3,2,2,1,2,1.0,0.6666666666666666,0,4,,0.0,,,,0.5
2026-05,2026-04,吉尔吉斯斯坦,吉尔吉斯斯坦,支付宝小程序,支付宝小程序,1300,953,1154,636,146,317,29,22,26,20,14,11,0.896551724137931,0.9090909090909091,4,4,0.6363636363636364,0.35714285714285715,0.3333333333333333,0.0,0.75,0.5
2026-05,2026-04,吉尔吉斯斯坦,吉尔吉斯斯坦,e付全酋(公众号),e付全酋(公众号),0,0,0,0,0,0,0,5,0,0,0,0,,0.0,0,4,,,,,,0.0
2026-05,2026-04,吉尔吉斯斯坦,吉尔吉斯斯坦,公众号,公众号,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,斯里兰卡,斯里兰卡,__ALL__,来源汇总,199672,210139,168304,179103,31369,31036,4887,5222,4301,4607,1799,1874,0.8800900347861674,0.8822290310225968,412,400,0.6923076923076923,0.6959421901056142,0.5421686746987951,0.5263157894736842,0.6844660194174758,0.665
2026-05,2026-04,斯里兰卡,斯里兰卡,易付全球(小程序),易付全球(小程序),109912,117732,94250,102288,15662,15444,2702,3027,2373,2643,979,1078,0.8782383419689119,0.8731417244796829,219,209,0.7094515752625438,0.6996935648621042,0.547486033519553,0.5052083333333334,0.6712328767123288,0.6650717703349283
2026-05,2026-04,斯里兰卡,斯里兰卡,easy大马生活(公众号),easy大马生活(公众号),296,851,296,823,0,28,6,25,6,21,3,13,1.0,0.84,1,2,0.2222222222222222,0.6666666666666666,,,0.0,0.0
2026-05,2026-04,斯里兰卡,斯里兰卡,易付全球(公众号),易付全球(公众号),62112,67389,50508,54189,11604,13200,1521,1629,1344,1467,616,633,0.883629191321499,0.9005524861878453,166,171,0.5944055944055944,0.6217532467532467,0.45664739884393063,0.4383561643835616,0.6686746987951807,0.6608187134502924
2026-05,2026-04,斯里兰卡,斯里兰卡,easy大马生活(小程序),easy大马生活(小程序),2635,1119,2378,1119,257,0,76,31,73,27,35,16,0.9605263157894737,0.8709677419354839,12,3,0.6428571428571429,0.45714285714285713,1.0,0.3333333333333333,0.4166666666666667,0.0
2026-05,2026-04,斯里兰卡,斯里兰卡,e付全酋(小程序),e付全酋(小程序),3670,5265,3433,4524,236,741,120,154,115,139,49,58,0.9583333333333334,0.9025974025974026,6,10,0.8163265306122449,0.7959183673469388,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.7
2026-05,2026-04,斯里兰卡,斯里兰卡,支付宝小程序,支付宝小程序,18440,15339,15327,13813,3113,1526,407,299,339,258,143,106,0.8329238329238329,0.862876254180602,26,14,0.5411764705882353,0.4825174825174825,0.3484848484848485,0.3142857142857143,0.6538461538461539,0.7142857142857143
2026-05,2026-04,斯里兰卡,斯里兰卡,e付全酋(公众号),e付全酋(公众号),2609,2443,2113,2346,496,96,55,57,51,52,27,23,0.9272727272727272,0.9122807017543859,8,5,0.5555555555555556,0.5925925925925926,0.3333333333333333,0.3333333333333333,0.5,0.0
2026-05,2026-04,斯里兰卡,斯里兰卡,公众号,公众号,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,伊拉克,伊拉克,__ALL__,来源汇总,65781,69108,64000,63512,1781,5596,696,687,662,652,359,354,0.9511494252873564,0.9490538573508006,35,53,0.5299539170506913,0.5097493036211699,0.2916666666666667,0.3076923076923077,0.3142857142857143,0.4716981132075472
2026-05,2026-04,伊拉克,伊拉克,易付全球(小程序),易付全球(小程序),41249,47257,40140,43508,1109,3749,421,460,408,428,232,227,0.9691211401425178,0.9304347826086956,22,32,0.5017543859649123,0.47413793103448276,0.25,0.3333333333333333,0.2727272727272727,0.40625
2026-05,2026-04,伊拉克,伊拉克,easy大马生活(公众号),easy大马生活(公众号),0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,伊拉克,伊拉克,易付全球(公众号),易付全球(公众号),24352,21074,23679,19330,673,1744,273,216,252,213,134,130,0.9230769230769231,0.9861111111111112,13,19,0.4935064935064935,0.44029850746268656,0.1875,0.2,0.38461538461538464,0.47368421052631576
2026-05,2026-04,伊拉克,伊拉克,easy大马生活(小程序),easy大马生活(小程序),0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,伊拉克,伊拉克,e付全酋(小程序),e付全酋(小程序),0,13,0,0,0,13,0,1,0,1,0,1,,1.0,0,0,0.0,,,,,
2026-05,2026-04,伊拉克,伊拉克,支付宝小程序,支付宝小程序,0,614,0,614,0,0,0,4,0,4,0,1,,1.0,0,0,0.0,,0.0,,,
2026-05,2026-04,伊拉克,伊拉克,e付全酋(公众号),e付全酋(公众号),180,150,180,60,0,90,2,6,2,6,1,3,1.0,1.0,0,2,,1.0,,,,0.5
2026-05,2026-04,伊拉克,伊拉克,公众号,公众号,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,牙买加,牙买加,__ALL__,来源汇总,58963,65298,53755,58104,5208,7194,393,460,362,395,226,253,0.9211195928753181,0.8586956521739131,33,43,0.683982683982684,0.7610619469026548,0.59375,0.8,0.5454545454545454,0.6976744186046512
2026-05,2026-04,牙买加,牙买加,易付全球(小程序),易付全球(小程序),39467,44318,36144,39527,3323,4791,257,315,240,263,158,179,0.933852140077821,0.834920634920635,18,26,0.6481481481481481,0.7088607594936709,0.5294117647058824,0.6363636363636364,0.5555555555555556,0.6538461538461539
2026-05,2026-04,牙买加,牙买加,easy大马生活(公众号),easy大马生活(公众号),0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,牙买加,牙买加,易付全球(公众号),易付全球(公众号),19496,20507,17611,18104,1885,2403,135,143,122,130,75,79,0.9037037037037037,0.9090909090909091,15,17,0.6282051282051282,0.68,0.5,0.5555555555555556,0.5333333333333333,0.6470588235294118
2026-05,2026-04,牙买加,牙买加,easy大马生活(小程序),easy大马生活(小程序),0,239,0,239,0,0,0,1,0,1,0,1,,1.0,0,0,0.0,,,,,
2026-05,2026-04,牙买加,牙买加,e付全酋(小程序),e付全酋(小程序),0,234,0,234,0,0,0,1,0,1,0,1,,1.0,0,0,,,,,,
2026-05,2026-04,牙买加,牙买加,支付宝小程序,支付宝小程序,0,0,0,0,0,0,1,0,0,0,0,0,0.0,,0,0,,,,,,
2026-05,2026-04,牙买加,牙买加,e付全酋(公众号),e付全酋(公众号),0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,牙买加,牙买加,公众号,公众号,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,美国,美国,__ALL__,来源汇总,49529,53946,44564,50894,4965,3053,1202,1371,1049,1062,201,214,0.872712146422629,0.774617067833698,204,188,0.5637254901960784,0.5920398009950248,0.1875,0.40625,0.029411764705882353,0.026595744680851064
2026-05,2026-04,美国,美国,易付全球(小程序),易付全球(小程序),30502,27933,27063,26226,3439,1708,893,837,795,666,137,150,0.8902575587905935,0.7956989247311828,98,91,0.5467625899280576,0.583941605839416,0.1,0.4,0.04081632653061224,0.054945054945054944
2026-05,2026-04,美国,美国,easy大马生活(公众号),easy大马生活(公众号),70,941,70,941,0,0,1,67,1,51,1,2,1.0,0.7611940298507462,6,25,,0.0,,,0.0,0.0
2026-05,2026-04,美国,美国,易付全球(公众号),易付全球(公众号),11290,21695,9879,20350,1412,1345,214,395,179,301,56,53,0.8364485981308412,0.7620253164556962,48,44,0.48148148148148145,0.4642857142857143,0.2727272727272727,0.21428571428571427,0.041666666666666664,0.0
2026-05,2026-04,美国,美国,easy大马生活(小程序),easy大马生活(小程序),2117,436,2117,436,0,0,32,13,20,7,4,3,0.625,0.5384615384615384,46,22,0.6666666666666666,0.5,,,0.0,0.0
2026-05,2026-04,美国,美国,e付全酋(小程序),e付全酋(小程序),0,0,0,0,0,0,0,0,0,0,0,0,,,4,5,,,,,0.0,0.0
2026-05,2026-04,美国,美国,支付宝小程序,支付宝小程序,5140,2341,5025,2341,115,0,56,48,49,32,6,7,0.875,0.6666666666666666,5,5,0.5555555555555556,0.8333333333333334,1.0,1.0,0.2,0.0
2026-05,2026-04,美国,美国,e付全酋(公众号),e付全酋(公众号),410,600,410,600,0,0,6,11,5,5,1,2,0.8333333333333334,0.45454545454545453,2,1,,1.0,,,0.0,0.0
2026-05,2026-04,美国,美国,公众号,公众号,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,尼日利亚,尼日利亚,__ALL__,来源汇总,44351,52958,37713,44343,6638,8615,1022,1223,904,1069,465,518,0.8845401174168297,0.8740801308258381,100,125,0.76,0.7376344086021506,0.6493506493506493,0.6511627906976745,0.55,0.544
2026-05,2026-04,尼日利亚,尼日利亚,易付全球(小程序),易付全球(小程序),19872,25686,16325,20954,3548,4732,499,636,428,564,226,265,0.8577154308617234,0.8867924528301887,51,56,0.6666666666666666,0.7035398230088495,0.5476190476190477,0.6458333333333334,0.49019607843137253,0.6071428571428571
2026-05,2026-04,尼日利亚,尼日利亚,easy大马生活(公众号),easy大马生活(公众号),0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,尼日利亚,尼日利亚,易付全球(公众号),易付全球(公众号),12907,17284,10589,14408,2318,2876,299,373,270,314,150,161,0.903010033444816,0.8418230563002681,26,37,0.7,0.64,0.5,0.5185185185185185,0.6538461538461539,0.6486486486486487
2026-05,2026-04,尼日利亚,尼日利亚,easy大马生活(小程序),easy大马生活(小程序),0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,尼日利亚,尼日利亚,e付全酋(小程序),e付全酋(小程序),8152,7504,7552,6726,600,779,156,166,144,147,72,79,0.9230769230769231,0.8855421686746988,16,25,0.8461538461538461,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.375,0.28
2026-05,2026-04,尼日利亚,尼日利亚,支付宝小程序,支付宝小程序,299,158,299,158,0,0,4,4,4,4,3,3,1.0,1.0,1,0,0.6666666666666666,1.0,,,0.0,
2026-05,2026-04,尼日利亚,尼日利亚,e付全酋(公众号),e付全酋(公众号),3120,2325,2948,2097,173,229,64,44,58,40,26,23,0.90625,0.9090909090909091,7,7,0.6666666666666666,0.6153846153846154,0.0,0.2,0.42857142857142855,0.2857142857142857
2026-05,2026-04,尼日利亚,尼日利亚,公众号,公众号,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,
2026-05,2026-04,巴西,巴西,__ALL__,来源汇总,36218,39660,28074,33412,8144,6247,983,1064,773,843,374,437,0.7863682604272635,0.7922932330827067,149,138,0.6270096463022508,0.6871657754010695,0.5877862595419847,0.5714285714285714,0.5973154362416108,0.5507246376811594
